所属階層１,所属階層２,所属階層３,所属階層４,所属階層５
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,京都奈良チーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,CNSフロント第4ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Eチーム
エージェント第一事業本部,介護エージェント事業部,さいたまグループ,さいたまCチーム,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),営業推進チーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Eチーム
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム1,CA渋谷ユニット6
レバテック株式会社,ITソリューション事業部,IStoCグループ,IStoCチーム,エンジニア第1ユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,IN第3ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北信越Cチーム
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSキャリアアドバイザーチーム,CNSキャリアアドバイザー第2ユニット
スタッフィング事業本部,看護スタッフィング事業部,西日本グループ,九州チーム,
レバテック株式会社,ITソリューション事業部,IStoCグループ,IStoCチーム,
中途採用事業本部,カスタマーロイヤルティ推進室,CTTグループ,企画チーム,
レバテック株式会社,ITソリューション事業部,IStoCグループ,IStoCチーム,クリエイター第1ユニット
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第1ユニット
中途採用事業本部,カスタマーロイヤルティ推進室,ITRグループ,ナーチャリングチーム,ナーチャリングユニット
エージェント第一事業本部,介護エージェント事業部,北信越・北関東グループ,北関東Dチーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,LTユニット
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INフロントチーム,INフロント第2ユニット
レバテック株式会社,管理部,業務管理グループ,手続チーム,契約ユニット
スタッフィング事業本部,看護スタッフィング事業部,東日本グループ,東海チーム,
キャリアチケット事業本部,事業推進部,組織戦略室,管理チーム,管理ユニット
LW経営企画本部,経営企画部,CRMセールス,栄養士CRMセールスチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,新卒教育グループ,新卒教育チーム,
海外事業本部,海外人材招聘事業部,福岡グループ,福岡チーム,
エージェント第一事業本部,介護エージェント事業部,西日本グループ,広島Cチーム,
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム1,CA渋谷ユニット4
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北関東Dチーム
レバテック株式会社,ITソリューション事業部,IStoCグループ,IStoCチーム,エンジニア第1ユニット
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット1
レバテック株式会社,インサイドセールス部,リクルートコンサルティンググループ,RC第2チーム,RC第6ユニット
エージェント第一事業本部,リハエージェント事業部,営業推進グループ,新卒研修チーム,
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,さいたまAチーム,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Bグループ,Gユニット
エージェント第一事業本部,介護エージェント事業部,東海グループ,三重岐阜静岡Cチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第3ユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRBグループ,全国Dチーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,CNSフロント第2ユニット
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,大阪Aチーム,
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,CSユニット
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,CSユニット
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット3
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Cチーム
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本JGチーム,HTCA西日本JGユニット1
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスフロントチーム,CRSフロント第1ユニット
エージェント第三事業本部,薬剤師エージェント事業部,薬剤師エージェントグループ,薬剤師Bチーム,
キャリアチケット事業本部,就職メディア事業部,ビジネスグループ,バリューグロースチーム,SAユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRBグループ,全国Cチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,リクルーティングアドバイザーチーム,RA第2ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Aチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまEチーム
システム本部,メディアシステム部,iPLグループ,iPLチーム,
エージェント第一事業本部,介護エージェント事業部,北日本グループ,札幌Bチーム,
エージェント第一事業本部,介護エージェント事業部,神奈川グループ,神奈川Cチーム,
エージェント第一事業本部,介護エージェント事業部,東京常勤グループ,東京常勤Aチーム,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Bグループ,Eユニット
レバテック株式会社,ITメディア事業部,カスタマーサクセスグループ,ミドルチーム,ミドルチーム第二ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Dチーム
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,開発SIRAチーム,SI第1ユニット
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,IS／FSユニット
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,フロント第3ユニット
LW管理本部,LW管理部,派遣事業管理グループ,介護派遣管理チーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Eチーム
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,副業チーム,CNS／IN／DSユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,IN第2ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまCチーム
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,Webベンダーフロントチーム,Webベンダーフロント第1ユニット
スタッフィング事業本部,介護スタッフィング事業部,東日本グループ,名古屋Aチーム,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏JGチーム,HTCA首都圏JGユニット1
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,開発キャリアアドバイザーチーム,開発第2ユニット
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームキャリアアドバイザーチーム,CRGキャリアアドバイザー第2ユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,広島Dチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Cチーム
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪CAチーム,キャリアアドバイザー第2ユニット
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪CAチーム,キャリアアドバイザー第1ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまBチーム
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,東日本Bチーム,
エージェント第一事業本部,介護エージェント事業部,北日本グループ,東北Aチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北日本グループ,札幌Cチーム
エージェント第一事業本部,リハエージェント事業部,紹介Bグループ,関西Aチーム,
LW医療テック事業本部,医療テック事業部,顧客展開グループ,顧客展開Cチーム,
レバテック株式会社,ITリクルーティング事業部,福岡グループ,キャリアアドバイザーチーム,CA第4ユニット
レバテック株式会社,ITリクルーティング事業部,福岡グループ,リクルーティングアドバイザーチーム,RA第2ユニット
エージェント第一事業本部,介護エージェント事業部,東海グループ,名古屋Bチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Hチーム
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第5ユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,岡山四国Bチーム
エージェント第一事業本部,介護エージェント事業部,東海グループ,三重岐阜静岡Cチーム,
レバテック株式会社,ITソリューション事業部,名古屋グループ,名古屋フロントチーム,名古屋フロントユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRAグループ,全国Bチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,広島Bチーム
エージェント第一事業本部,介護エージェント事業部,北信越・北関東グループ,北信越Aチーム,
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INフロントチーム,INフロント第3ユニット
レバテック株式会社,ITソリューション事業部,名古屋グループ,名古屋フロントチーム,名古屋フロントユニット
キャリアチケット事業本部,就職エージェント事業部,営業推進グループ,営業推進チーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第1ユニット
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,兵庫グループ,兵庫Bチーム
スタッフィング事業本部,介護スタッフィング事業部,新卒教育グループ,新卒教育チームG,
エージェント第一事業本部,リハエージェント事業部,,,
HRテック事業部,Bizグループ,セールスチーム,第1ユニット,
エージェント第一事業本部,リハエージェント事業部,紹介Aグループ,首都圏Bチーム,
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本RAチーム,HTRA西日本既存ユニット1
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Fチーム
LW医療テック事業本部,医療テック事業部,顧客展開グループ,顧客展開Aチーム,
中途採用事業本部,ハタラクティブ事業部,第2新卒グループ,2卒RAチーム,HTRA2卒ユニット1
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北日本グループ,東北Bチーム
人事本部,人事採用部,新卒採用グループ,営業職第二チーム,営業職第二グループユニットI
スタッフィング事業本部,看護スタッフィング事業部,東京グループ,東京Bチーム,
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,CNSフロント第3ユニット
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Fチーム
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Bグループ,Dユニット
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,未経験キャリアアドバイザーチーム,未経験第1ユニット
中途採用事業本部,転職メディア事業部,ビジネスグループ,セールスチーム,セールスユニット
レバテック株式会社,ITソリューション事業部,大阪グループ(ITソリューション),大阪フロントチーム,フロント第1ユニット
エージェント第一事業本部,介護エージェント事業部,神奈川グループ,神奈川MAチーム,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第5ユニット
エージェント第一事業本部,介護エージェント事業部,さいたまグループ,さいたまBチーム,
エージェント第一事業本部,介護エージェント事業部,新卒教育グループ,新卒教育チーム,
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,兵庫Aチーム,
キャリアチケット事業本部,就職エージェント事業部,リクルートアドバイザーグループ,リクルーティングアドバイザーチーム,RAユニット2
海外事業本部,海外人材招聘事業部,福岡グループ,福岡チーム,
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,Webベンダーフロントチーム,Webベンダーフロント第1ユニット
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第4ユニット
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,大阪グループ,大阪Gチーム
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Aチーム
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第2ユニット
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,札幌チーム,
キャリアチケット事業本部,就職エージェント事業部,営業推進グループ,営業推進チーム,
中途採用事業本部,ハタラクティブ事業部,首都圏グループ,HTCA首都圏JGチーム,HTCA首都圏JGユニット3
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,広島Dチーム
人事本部,人事採用部,新卒採用グループ,営業職第四チーム,営業職第四グループユニットP
中途採用事業本部,転職エージェント事業部,エージェントグループ,第1ユニット,
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,キャリアアドバイザーチーム,CA第2ユニット
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,さいたまAチーム,
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,データストラテジーチーム,CAユニット
エージェント第一事業本部,介護エージェント事業部,東海グループ,三重岐阜静岡Aチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRAグループ,全国Aチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,三重岐阜静岡Bチーム
レバテック株式会社,インサイドセールス部,ADRグループ,,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRAグループ,全国Bチーム,
エージェント第一事業本部,介護エージェント事業部,船橋グループ,船橋Aチーム,
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットB
エージェント第一事業本部,介護エージェント事業部,西日本グループ,九州Dチーム,
エージェント第一事業本部,リハエージェント事業部,紹介Aグループ,中国・四国チーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,WebユーザーCAチーム,WebユーザーCA第4ユニット
中途採用事業本部,カスタマーロイヤルティ推進室,CTTグループ,企画チーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRBグループ,全国Dチーム,
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム1,ITエンジニアチーム1第3ユニット
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,ビジネスデベロップメントチーム,ユーザーユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Cチーム
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Aチーム
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Dチーム
エージェント第一事業本部,介護エージェント事業部,北日本グループ,東北Cチーム,
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,開発SIRAチーム,SI第6ユニット
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,WebユーザーCAチーム,WebユーザーCA第1ユニット
中途採用事業本部,カスタマーロイヤルティ推進室,ITRグループ,インサイドセールスチーム,東京ユニット
マーケティング部,BizOps戦略室,LTグループ,,
エージェント第一事業本部,介護エージェント事業部,神奈川グループ,神奈川Aチーム,
レバテック株式会社,ITソリューション事業部,クリエイターゲームグループ,CRゲームキャリアアドバイザーチーム,CRGキャリアアドバイザー第3ユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,カスタマーサクセスグループ,カスタマーサクセスAチーム,
スタッフィング事業本部,介護スタッフィング事業部,神奈川グループ,神奈川Aチーム,
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスフロントチーム,CRSフロント第3ユニット
人事本部,人事採用部,新卒採用グループ,営業職第一チーム,営業職第一グループユニットG
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,さいたまAチーム,
エージェント第一事業本部,介護エージェント事業部,プロフェッショナルグループ,首都圏Aチーム,
レバテック株式会社,管理部,業務管理グループ,審査チーム,ITSユニット
スタッフィング事業本部,看護スタッフィング事業部,東京グループ,東京Aチーム,
エージェント第一事業本部,介護エージェント事業部,東海グループ,三重岐阜静岡Aチーム,
中途採用事業本部,ハタラクティブ事業部,西日本グループ,西日本CBチーム,HTCA西日本CBユニット1
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,機電RAチーム,機電第1ユニット
レバテック株式会社,ITリクルーティング事業部,名古屋グループ,リクルーティングアドバイザーチーム,RA第2ユニット
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,大阪グループ,大阪Bチーム
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,福岡チーム,
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスキャリアアドバイザーチーム,CRSキャリアアドバイザー第1ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,横浜グループ,横浜Aチーム
レバテック株式会社,ITソリューション事業部,コンサルグループ,CNSフロントチーム,CNSフロント第2ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北関東北信越グループ,北関東Aチーム
エージェント第二事業本部,保育士エージェント事業部,事業推進グループ,新卒研修チーム,
スタッフィング事業本部,介護スタッフィング事業部,神奈川グループ,神奈川Aチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,INキャリアアドバイザーチーム,IN第3ユニット
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム2,CA大阪ユニット1
システム本部,メディアシステム部,リクルートメントDXグループ,リクルートメントDXチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Eチーム
マーケティング部,プロダクト戦略室,プロダクトデザイングループ,デザインOpsチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRBグループ,大手チーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第7ユニット
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットJ
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,HT・新規事業チーム,
システム本部,情報システム室,コーポレートエンジニアリンググループ,システムマネジメントチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,関西グループ,関西Aチーム
システム本部,ソリューション開発部,ヒューマンキャピタル事業,セールスシステムグループ,就職領域チーム
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,未経験RAチーム,未経験ユニット
レバテック株式会社,インサイドセールス部,リクルートコンサルティンググループ,RC第2チーム,RC第4ユニット
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Aグループ,Aユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Eチーム
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットN
HRテック事業部,Bizグループ,マーケティングチーム,,
システム本部,レバウェル開発部,CXグループ,,
レバテック株式会社,ITメディア事業部,カスタマーサクセスグループ,ナーチャリングチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,三重岐阜静岡Dチーム
レバテック株式会社,ITリクルーティング事業部,福岡グループ,キャリアアドバイザーチーム,CA第4ユニット
エージェント第一事業本部,介護エージェント事業部,西日本グループ,九州Dチーム,
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,開発キャリアアドバイザーチーム,開発第1ユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRAグループ,全国Aチーム,
エージェント第二事業本部,栄養士エージェント事業部,地方グループ,地方Aチーム,
マーケティング部,プロダクト戦略室,プロダクトグループ,プロダクトマネジメントチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,関西グループ,関西Bチーム
システム本部,メディアシステム部,システムデベロップメントグループ,システムデベロップメントチーム,
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,Webベンダーフロントチーム,Webベンダーフロント第4ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Eチーム
スタッフィング事業本部,看護スタッフィング事業部,東京グループ,東京Aチーム,
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,さいたまAチーム,
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム1,CA渋谷ユニット4
エージェント第一事業本部,介護エージェント事業部,関西拠点グループ,兵庫Aチーム,
スタッフィング事業本部,介護スタッフィング事業部,東京グループ,東京Bチーム,
エージェント第一事業本部,介護エージェント事業部,東京常勤グループ,東京常勤Bチーム,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),サテライトチーム,サテライトユニット
レバテック株式会社,ITリクルーティング事業部,リクルーティングアドバイザーグループ,開発WEBRAチーム,WEB第2ユニット
エージェント第一事業本部,リハエージェント事業部,紹介Aグループ,東海チーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Dチーム
スタッフィング事業本部,介護スタッフィング事業部,東日本グループ,静岡チーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤MBチーム
キャリアチケット事業本部,就職メディア事業部,ビジネスグループ,セールスチーム,セールスユニット1
人事本部,人事採用部,新卒採用グループ,営業職第五チーム,営業職第五グループユニットS
エージェント第一事業本部,介護エージェント事業部,西日本グループ,広島Cチーム,
エージェント第一事業本部,リハエージェント事業部,紹介Bグループ,関西Aチーム,
スタッフィング事業本部,介護スタッフィング事業部,神奈川グループ,神奈川Aチーム,
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRBグループ,全国Cチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Aチーム
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Cチーム
人事本部,人事採用部,新卒採用グループ,営業職第三チーム,営業職第三グループユニットM
レバテック株式会社,ITソリューション事業部,クリエイターサービスグループ,CRサービスフロントチーム,CRSフロント第3ユニット
レバテック株式会社,IT新卒紹介事業部,新卒メディアグループ,ビジネスチーム,CSユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,岡山四国Dチーム
広報本部,広報部,採用広報グループ,,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,LTチーム,
エージェント第二事業本部,医療技師エージェント事業部,首都圏グループ,首都圏Aチーム,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Bグループ,Fユニット
レバテック株式会社,ITソリューション事業部,フォローグループ,ITエンジニアチーム2,ITエンジニアチーム2第2ユニット
スタッフィング事業本部,看護スタッフィング事業部,東日本グループ,関東Bチーム,
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,福岡チーム,
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム1,CA渋谷ユニット4
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Aチーム
エージェント第一事業本部,介護エージェント事業部,船橋グループ,船橋Aチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,中四国グループ,岡山四国Cチーム
人事本部,人事採用部,新卒採用グループ,営業職第二チーム,営業職第二グループユニットI
レバテック株式会社,ITソリューション事業部,新規セグメントグループ,ビジネスデベロップメントチーム,SIerユニット
人事本部,人事採用部,新卒採用グループ,営業職第四チーム,営業職第四グループユニットQ
レバテック株式会社,ITリクルーティング事業部,キャリアアドバイザーグループ,機電キャリアアドバイザーチーム,機電第1ユニット
エージェント第一事業本部,介護エージェント事業部,船橋グループ,船橋Bチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,船橋グループ,船橋Bチーム
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム2,CA大阪ユニット1
レバテック株式会社,IT新卒紹介事業部,新卒紹介グループ,インサイドセールスチーム,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,LMCチーム,MDユニット
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第4ユニット
レバテック株式会社,ITソリューション事業部,IStoCグループ,IStoCチーム,エンジニア第2ユニット
スタッフィング事業本部,介護スタッフィング事業部,東日本グループ,名古屋Aチーム,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Aグループ,Cユニット
レバテック株式会社,インサイドセールス部,ADRグループ,,
LWプロフェッショナルメディア事業本部,プロフェッショナルメディア事業部,レバウェル編集局,Aグループ,Bユニット
レバテック株式会社,ITソリューション事業部,福岡グループ(ITソリューション),福岡CAチーム,福岡CAユニット
エージェント第一事業本部,リハエージェント事業部,営業推進グループ,新卒研修チーム,
レバテック株式会社,ITソリューション事業部,Webユーザーグループ,Webユーザーフロントチーム,Webユーザーフロント第3ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Fチーム
レバテック株式会社,ITソリューション事業部,インフラエンジニアグループ,INキャリアアドバイザーチーム,INキャリアアドバイザー第1ユニット
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第2ユニット
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Dチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京日勤グループ,東京日勤Gチーム
システム本部,システム人事戦略室,Enhancementグループ,Enhancementチーム,
マーケティング部,機能戦略室,CRMグループ,レバテックチーム,
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Aチーム
エージェント第一事業本部,介護エージェント事業部,東京日勤グループ,東京日勤Aチーム,
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,三重岐阜静岡Bチーム
キャリアチケット事業本部,就職エージェント事業部,キャリアアドバイザーグループ１,キャリアアドバイザーチーム1,CA渋谷ユニット5
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,関西グループ,関西Bチーム
スタッフィング事業本部,介護スタッフィング事業部,首都圏Bグループ,船橋Aチーム,
スタッフィング事業本部,介護スタッフィング事業部,西日本グループ,兵庫チーム,
エージェント第一事業本部,治療家エージェント事業部,治療家チーム,,
エージェント第一事業本部,介護エージェント事業部,神奈川グループ,神奈川Dチーム,
レバテック株式会社,ITリクルーティング事業部,大阪グループ(ITリクルーティング),サテライトチーム,サテライトユニット
エージェント第一事業本部,介護エージェント事業部,北日本グループ,札幌Aチーム,
マーケティング部,ブランドコミュニケーション室,プロモーショングループ,LTチーム,
エージェント第二事業本部,医療技師エージェント事業部,首都圏グループ,首都圏Bチーム,
レバテック株式会社,ITソリューション事業部,Webベンダーグループ,WebベンダーCAチーム,WebベンダーCA第1ユニット
エージェント第一事業本部,介護エージェント事業部,北日本グループ,東北Bチーム,
エージェント第二事業本部,保育士エージェント事業部,首都圏拠点グループ,首都圏拠点Aチーム,
エージェント第二事業本部,保育士エージェント事業部,西日本グループ,西日本Bチーム,
エージェント第二事業本部,保育士エージェント事業部,東京グループ,東京チーム,
マーケティング部,プロダクト戦略室,メディアグロースグループ,メディアプランニングチーム,CTユニット
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,南九州Cチーム
キャリアチケット事業本部,事業推進部,組織戦略室,管理チーム,管理ユニット
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,さいたまグループ,さいたまDチーム
スタッフィング事業本部,看護スタッフィング事業部,西日本グループ,関西Aチーム,
中途採用事業本部,転職メディア事業部,ビジネスグループ,セールスチーム,カスタマーサクセスユニット
LWプロフェッショナルメディア事業本部,レバウェルダイレクト事業部,DRAグループ,全国Eチーム,
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,東京常勤グループ,東京常勤Cチーム
エージェント第一事業本部,看護エージェント事業部,東日本統括グループ,北日本グループ,札幌Bチーム
エージェント第一事業本部,看護エージェント事業部,中日本統括グループ,東海グループ,愛知Bチーム
エージェント第一事業本部,看護エージェント事業部,西日本統括グループ,九州グループ,福岡Bチーム
レバテック株式会社,ITソリューション事業部,フォローグループ,クリエイターチーム,クリエイターフォロワー第1ユニット
